,Year,Title and Reciever,Grant size (DKK),Project Category
0,2024,GirlTalk,Donation: 2.500.000 kr.,Værdige formål
1,2024,"Vikingeklubben Jomsborg, tillægsdonation",Donation: 500.000 kr.,Sport
2,2024,Aalborg Events,Donation: 250.000 kr.,Værdige formål
3,2024,Musikhuset Aarhus - Ny Foyer,Donation: 10.000.000 kr.,Kunst og kultur
4,2024,Security Tech Space,Donation: 4.800.000 kr.,Forskning og innovation
5,2024,Aarhus Festuge 2024,Donation: 550.000 kr.,Kunst og kultur
6,2024,Visit Aarhus,Donation: 6.000.000 kr.,Værdige formål
7,2024,European Choir Games Aarhus 2025,Donation: 1.000.000 kr.,Kunst og kultur
8,2024,Det Kongelige Teater 2024,Donation: 7.581.201 kr.,Kunst og kultur
9,2024,Hjernesagen - 30-års jubilæums sundhedskonference,Donation: 200.000 kr.,Værdige formål
10,2024,Aarhus Universitet - The Kitchen,Donation: 6.000.000 kr.,Forskning og innovation
11,2023,"Fodboldstadion Vejlby-Risskov, Aarhus",Donation: 30.000.000 kr.,Sport
12,2023,Aarhus går for Ukraine,Donation: 125.000 kr.,Værdige formål
13,2023,Aarhus Golf Club,Donation: 2.900.000 kr.,Sport
14,2023,Veterankortet,Donation: 200.000 kr.,Værdige formål
15,2023,headspace Family,Donation: 2.500.000 kr.,Værdige formål
16,2023,"Naturhistorisk Museum Aarhus- nyt cafémiljø, tillægsdonation",Donation: 690.000 kr.,Kunst og kultur
17,2023,Danmarks Motionsuge,Donation: 1.000.000 kr.,Sport
18,2023,"Hjerteforeningen, tillægsdonation",Donation: 5.000.000 kr.,Værdige formål
19,2023,DANCE FOR HOPE - Verdensballet for Ukraine,Donation: 235.000 kr.,Kunst og kultur
20,2023,"Stefanshjemmet, Aarhus",Donation: 236.300 kr.,Værdige formål
21,2023,Skanderborg Fælleden,Donation: 5.000.000 kr.,Sport
22,2023,"Musikhusparken, Aarhus",Donation: 20.000.000 kr.,Kunst og kultur
23,2023,Kajakklubben Viking,Donation: 1.000.000 kr.,Kunst og kultur
24,2023,Røde Kors Aarhus - Indkøb af nye bårer,Donation: 69.350 kr.,Værdige formål
25,2023,"Kirkerum, Aarhus Arrest",Donation: 3.000.000 kr.,Værdige formål
26,2023,Team Danmark - forberedelse til OL 2028,Donation: 60.000.000 kr.,Sport
27,2023,"Golfpromote, Aarhus",Donation: 1.000.000 kr.,Sport
28,2023,Stenbroens Jurister,Donation: 500.000 kr.,Værdige formål
29,2023,"Værestedet, Aarhus",Donation: 8.000.000 kr.,Værdige formål
30,2023,Aarhus Symposium 2023,Donation: 100.000 kr.,Uddannelse
31,2023,"Kong Frederiks Center for Offentlig Ledelse, ny tillægsdonation",Donation: 30.000.000 kr.,Uddannelse
32,2023,Hjernesagen,Donation: 2.550.000 kr.,Værdige formål
33,2023,"Idræt Venskab Forening, Aarhus",Donation: 1.000.000 kr.,Sport
34,2023,Sailing Aarhus,Donation: 300.000 kr.,Sport
35,2023,Aarhus Rosen,Donation: 300.000 kr.,Kunst og kultur
36,2023,"Skraldecaféen, Aarhus",Donation: 150.000 kr.,Værdige formål
37,2023,Fonden for Aarhus Støtter Håndbolden,Donation: 5.000.000 kr.,Sport
38,2023,"BRYD TAVSHEDEN, forebyggelse af fysisk og psykisk vold",Donation: 100.000 kr.,Værdige formål
39,2023,Aarhus Universitet - Auditorium,Donation: 4.000.000 kr.,Uddannelse
40,2023,"Constructive Institute, Aarhus som globalt centrum",Donation: 4.500.000 kr.,Forskning og innovation
41,2023,"Åbyhøj Idrætscenter Aarhus, tillægsdonation",Donation: 1.600.000 kr.,Sport
42,2023,"ARoS, The Next Level - Låget",Donation: 5.000.000 kr.,Kunst og kultur
43,2023,Ocean Race 2023,Donation: 4.000.000 kr.,Sport
44,2023,Aarhus Symfoniorkester - leje af violin,Donation: 30.000 kr.,Kunst og kultur
45,2023,Dyrenes Beskyttelse,Donation: 500.000 kr.,Værdige formål
46,2023,Aarhus Festuge 2023,Donation: 500.000 kr.,Kunst og kultur
47,2023,"Café Exit, København",Donation: 91.200 kr.,Værdige formål
48,2022,"Aarhus Symfoniorkester, Musikkens Børn",Donation: 250.000 kr.,Kunst og kultur
49,2022,"Kunstgræsbane på Christianbjerg, Aarhus",Donation: 1.500.000 kr.,Sport
50,2022,Lystrup Idrætscenter,Donation: 5.000.000 kr.,Sport
51,2022,Beder-Malling Idrætsforening,Donation: 5.000.000 kr.,Sport
52,2022,Muskelsvindfonden,Donation: 450.000 kr.,Værdige formål
53,2022,Gammel Estrup - ny herregårdslegeplads,Donation: 500.000 kr.,Kunst og kultur
54,2022,"Det Grønlandske Hus, Aarhus",Donation: 100.000 kr.,Kunst og kultur
55,2022,Ordblindeforeningen,Donation: 500.000 kr.,Værdige formål
56,2022,Solbjerg Idrætsforening,Donation: 5.000.000 kr.,Sport
57,2022,"Skt. Lukas Kirke, Aarhus",Donation: 264.850 kr.,Folkekirken
58,2022,"Randers Teater, tillægsdonation",Donation: 300.000 kr.,Kunst og kultur
59,2022,"Café Exit, Aarhus",Donation: 50.000 kr.,Værdige formål
60,2022,Røde Kors Aarhus - Indkøb af nye hjertestartere,Donation: 117.500 kr.,Værdige formål
61,2022,"Ole Rømer Observatoriet - Scienceparken, Aarhus",Donation: 2.000.000 kr.,Kunst og kultur
62,2022,"Dyreværnet, tillægsdonation",Donation: 300.000 kr.,Værdige formål
63,2022,"Vikingeklubben Jomsborg, Aarhus",Donation: 2.500.000 kr.,Sport
64,2022,Naturhistorisk Museum Aarhus - ny café og showroom,Donation: 2.000.000,Kunst og kultur
65,2022,Aarhus Domkirke - 50 kirkestole,Donation: 328.150 kr.,Folkekirken
66,2022,"ARoS - The Next Level, tillægsdonation",Donation: 15.000.000 kr.,Kunst og kultur
67,2022,PCC- Polit Case Competetion,Donation: 36.000 kr.,Værdige formål
68,2022,"Børsen, København",Donation: 10.000.000,Kunst og kultur
69,2022,"Nyt fodboldstadion, Aarhus",Donation: 250.000.000 kr.,Sport
70,2022,"Aarhus Kommune, IRIS",Donation: 2.000.000 kr.,Uddannelse
71,2022,Veteranhistorier fortalt gennem podcast,Donation: 142.500 kr.,Værdige formål
72,2022,Sportscampus Ikast-Brande - Tårnet,Donation: 2.375.000 kr.,Sport
73,2022,Aarhus Festuge 2022,Donation: 250.000 kr.,Kunst og kultur
74,2022,Aarhus Symposium 2022,Donation: 100.000 kr.,Uddannelse
75,2022,"Aarhus Internationale Skole, tillægsdonation",Donation: 20.000.000 kr.,Uddannelse
76,2022,"Børns Vilkår, Aarhus",Donation: 10.000.000 kr.,Værdige formål
77,2022,DM Skills 2023,Donation: 245.000,Uddannelse
78,2021,"Bogen om Maltfabrikken, Ebeltoft",Donation: 200.000 kr.,Kunst og kultur
79,2021,"Åbyhøj Idrætscenter, Aarhus",Donation: 5.000.000 kr.,Sport
80,2021,"Teatret Svalegangen, Aarhus",Donation: 1.300.000 kr.,Kunst og kultur
81,2021,"Kirkens Korshær, Ungehuset",Donation: 200.000 kr.,Værdige formål
82,2021,"Eskelunden, Aarhus - fra losseplads til naturbypark",Donation: 950.000 kr.,Kunst og kultur
83,2021,Aarhus Klatreklub,Donation: 73.000 kr.,Sport
84,2021,"Aarhus Universitetshospital - rum til kirke, tro og fordybelse",Donation: 8.200.000 kr.,Folkekirken
85,2021,Aarhus Symfoniorkester - multimediakoncert AWAY,Donation: 110.000 kr.,Kunst og kultur
86,2021,"Moesgaard Museum IKERASAK, Aarhus",Donation: 124.000 kr.,Kunst og kultur
87,2021,"Musikhuset Aarhus - ny nedre foyer, tillægsdonation",Donation: 2.400.000 kr.,Kunst og kultur
88,2021,Naturhistorisk Museum Aarhus - 100 års bogen,Donation: 100.000 kr.,Kunst og kultur
89,2021,"Music City Aarhus, 2022",Donation: 2.165.250 kr.,Kunst og kultur
90,2021,Aarhus Festuge 2021,Donation: 250.000 kr.,Kunst og kultur
91,2021,"Naturhistorisk Museum Aarhus - forundersøgelse, tillægsdonation",Donation: 4.500.000 kr.,Kunst og kultur
92,2021,Aarhus Teater - Vita Danica,Donation: 450.000 kr.,Kunst og kultur
93,2021,"Sejlklubben, Aarhus Nordhavn",Donation: 1.000.000 kr.,Værdige formål
94,2021,SMILfonden,Donation: 1.000.000 kr.,Værdige formål
95,2021,Aarhus Beachvolley Club,Donation: 400.000 kr.,Sport
96,2021,ReThinkers for Aarhus,Donation: 1.000.000 kr.,Kunst og kultur
97,2021,"Ny Aalborg Universitetshospital, tillægsdonation",Donation: 850.000 kr.,Folkekirken
98,2021,"Musik- og Teaterhuset Værket, Randers",Donation: 6.500.000 kr.,Kunst og kultur
99,2021,Music City Aarhus - genstart af musik- og kulturlivet i 2022,Donation: 2.000.000 kr.,Kunst og kultur
100,2021,"Det Kærlige Måltid Aalborg, tillægsdonation",Donation: 1.000.000 kr.,Værdige formål
101,2021,"Salling Roofgarden, Aarhus",Donation: 35.000.000 kr.,Kunst og kultur
102,2021,"LEAPS - læringsprojekt, Aarhus",Donation: 10.000.000 kr.,Uddannelse
103,2021,Højbjerg Badminton Klub,Donation: 5.000.000 kr.,Sport
104,2021,Team Danmark - forberedelse til OL 2024,Donation: 50.000.000 kr.,Sport
105,2021,"VM i hestediscipliner 2022, Herning",Donation: 2.000.000 kr.,Sport
106,2020,Aarhus Symfoniorkester - kunstnerisk vision 2021-2025,Donation: 1.500.000 kr.,Kunst og kultur
107,2020,Aarhus Symposium 2020,Donation: 80.000 kr.,Uddannelse
108,2020,"FÆNGSLET, Horsens",Donation: 5.000.000 kr.,Kunst og kultur
109,2020,Concito,Donation: 1.000.000 kr.,Værdige formål
110,2020,Musikhuset Aarhus - ny nedre foyer,Donation: 13.400.000 kr.,Kunst og kultur
111,2020,Ny Aalborg Universitetshospital,Donation: 6.000.000 kr.,Folkekirken
112,2020,Aarhus festuge 2020,Donation: 500.000 kr.,Kunst og kultur
113,2020,Det Kærlige Måltid,Donation: 2.000.000 kr.,Værdige formål
114,2020,"Hjertecentret, Rigshospitalet København",Donation: 4.973.000 kr.,Forskning og innovation
115,2020,Team Danmark - udsættelse af OL og PL 2020,Donation: 15.000.000 kr.,Sport
116,2020,Hjerteforeningen - børnehjertelinjen,Donation: 650.000 kr.,Værdige formål
117,2020,Danske Skoleelever,Donation: 1.000.000 kr.,Uddannelse
118,2020,"Trygfondens Familiehus, Aarhus",Donation: 500.000 kr.,Værdige formål
119,2020,Aarhus Symfoniorkester - gallakoncert,Donation: 50.000 kr.,Kunst og kultur
120,2020,Constructive Institute - Center for Konstruktiv Samfundsdialog,Donation: 2.000.000 kr.,Forskning og innovation
121,2020,Randers Teater,Donation: 6.500.000 kr.,Kunst og kultur
122,2019,ARoS - The Next Level,Donation: 80.000.000 kr.,Kunst og kultur
123,2019,Constructive Institute,Donation: 1.500.000 kr.,Forskning og innovation
124,2019,Fonden Human Practice Foundation,Donation: 200.000 kr.,Værdige formål
125,2019,"Eskelunden, Aarhus - koncertplads og bypark",Donation: 11.000.000 kr.,Kunst og kultur
126,2019,Fonden Event Safety,Donation: 1.000.000 kr.,Værdige formål
127,2019,Hjerteforeningen,Donation: 5.854.458 kr.,Værdige formål
128,2019,"Maltfabrikken Ebeltoft, tillægsdonation",Donation: 3.000.000 kr.,Kunst og kultur
129,2019,Springcenter Aarhus,Donation: 5.000.000 kr.,Sport
130,2019,Aarhus Musikskole,Donation: 1.000.000 kr.,Kunst og kultur
131,2019,Ocean Plastic Forum,Donation: 600.000 kr.,Værdige formål
132,2019,DGI - `JEG GØR DET`,Donation: 2.654.469 kr.,Sport
133,2019,Dyreværnet - Frynseklinikken,Donation: 250.000 kr.,Værdige formål
134,2019,Aarhus Festuge 2019,Donation: 500.000 kr.,Kunst og kultur
135,2019,FødevareBanken,Donation: 3.979.000 kr.,Værdige formål
136,2019,"SMUKfest, Skanderborg",Donation: 2.587.823 kr.,Kunst og kultur
137,2019,"Salling Rooftop Aarhus, Væksthuset",Donation: 80.000 kr.,Kunst og kultur
138,2019,Det Kongelige Teater,Donation: 4.000.000 kr.,Kunst og kultur
139,2019,DGI - 'Næstkærlighed',Donation: 500.000 kr.,Sport
140,2019,Veteranfonden,Donation: 150.000 kr.,Kunst og kultur
141,2019,"Borgerservice og Bibliotekerne, Aarhus",Donation: 500.000 kr.,Uddannelse
142,2018,Aarhus Gymnastikforening af 1880,Donation: 8.500.000 kr.,Sport
143,2018,Aarhus festuge 2018,Donation: 300.000 kr.,Kunst og kultur
144,2018,"Teatret Svalegangen, Store Scene",Donation: 5.000.000 kr.,Kunst og kultur
145,2018,Huset Venture Midtjylland,Donation: 4.610.000 kr.,Uddannelse
146,2018,Aarhus event - VM i badminton,Donation: 3.350.000 kr.,Sport
147,2018,BRYD TAVSHEDEN - livet med vold,Donation: 250.000 kr.,Værdige formål
148,2018,"Aarhus Teater - Store Scene, tillægsdonation",Donation: 2.000.000 kr.,Kunst og kultur
149,2018,Kunsthal Aarhus,Donation: 1.500.000 kr.,Kunst og kultur
150,2018,"Cloud City, Aalborg",Donation: 10.000.000 kr.,Kunst og kultur
151,2018,"Testrup Højskole, Aarhus",Donation: 5.000.000 kr.,Uddannelse
152,2018,Det Sociale Netværk,Donation: 2.829.500 kr.,Værdige formål
153,2018,Naturhistorisk Museum - forundersøgelse,Donation: 3.000.000 kr.,Kunst og kultur
154,2018,"Fonden Marselisborg Lystbådehavn, Aarhus",Donation: 16.150.000 kr.,Kunst og kultur
155,2018,Aarhus Domkirke - 400 kirkestole,Donation: 1.889.500 kr.,Folkekirken
156,2018,Aarhus Symposium,Donation: 125.000 kr.,Uddannelse
157,2018,"Kirkens Korshær, 100 års jubilæum",Donation: 1.837.500 kr.,Værdige formål
158,2018,"Kong Frederiks Center for Offentlig Ledelse, tillægsdonation",Donation: 47.712.500 kr.,Uddannelse
159,2017,Aarhus Festuge 2017,Donation: 250.000 kr.,Kunst og kultur
160,2017,Harlev Idræts- & Kulturcenter,Donation: 1.000.000 kr.,Sport
161,2017,"Jydsk Væddeløbsbane, Aarhus",Donation: 3.499.117 kr.,Sport
162,2017,Aarhus Domkirke - renovering af kirkeorgel,Donation: 4.874.375 kr.,Folkekirken
163,2017,"KØN, Aarhus",Donation: 3.083.750 kr.,Kunst og kultur
164,2017,Aarhus Symfoniorkester,Donation: 5.000.000 kr.,Kunst og kultur
165,2017,"Salling Rooftop Aarhus, tillægsdonation",Donation: 8.200.000 kr.,Kunst og kultur
166,2017,"Kong Frederiks Center for Offentlig ledelse, Aarhus",Donation: 4.510.000 kr.,Uddannelse
167,2017,"Natteravnene, Aarhus",Donation: 500.000 kr.,Værdige formål
168,2017,"VM i Sejlsport 2018, Aarhus",Donation: 4.000.000 kr.,Sport
169,2017,"Gallo Kriserådgivning, Aarhus",Donation: 300.000 kr.,Værdige formål
170,2017,"Bevægelseshus Gellerup, Aarhus",Donation: 25.000.000 kr.,Sport
171,2017,Fonden Lyseng Idrætscenter,Donation: 10.000.000 kr.,Sport
172,2016,Team Danmark - forberedelse til OL 2020,Donation: 50.000.000 kr.,Sport
173,2016,Musikhuset Aarhus - ny lyssætning,Donation: 20.250.000 kr.,Kunst og kultur
174,2016,"CBS Case Club, København",Donation: 550.000 kr.,Uddannelse
175,2016,BRYD TAVSHEDEN,Donation: 183.013,Værdige formål
176,2016,"Salling Rooftop, Aarhus",Donation: 15.000.000 kr.,Kunst og kultur
177,2016,"Skt. Johanns Kirke, Aarhus",Donation: 1.545.000 kr.,Folkekirken
178,2016,Aarhus Festuge 2016,Donation: 250.000 kr.,Kunst og kultur
179,2016,Aarhus Teater - Store Scene,Donation: 50.000.000 kr.,Kunst og kultur
180,2016,"Gammel Estrup, Randers",Donation: 1.000.000 kr.,Kunst og kultur
181,2016,"Marselisborg Hallen, Aarhus",Donation: 13.000.000 kr.,Sport
182,2016,Aarhus Domkirke - nyt glasparti og dørgreb,Donation: 353.000 kr.,Folkekirken
183,2016,"Skåde Rideklub, Aarhus",Donation: 900.000 kr.,Sport
184,2015,Aarhus Internationale Sejlsportscenter,Donation: 10.000.000 kr.,Sport
185,2015,Aarhus festuge 2015,Donation: 218.750 kr.,Kunst og kultur
186,2015,"Via University College, Aarhus",Donation: 3.000.000 kr.,Kunst og kultur
187,2015,"Maltfabrikken, Ebeltoft",Donation: 7.000.000 kr.,Kunst og kultur
188,2015,"Skulpturen Historiske Spor, Aarhus",Donation: 3.000.000 kr.,Kunst og kultur
189,2015,"Salling Stormagasin, julebelysning",Donation: 8.800.000 kr.,Kunst og kultur
190,2014,Aarhus Internationale Skole,Donation: 36.950.000 kr.,Uddannelse
191,2014,"Kirkens Korshær - Haldor Huset, Aarhus",Donation: 454.000 kr.,Værdige formål
192,2014,Fonden Aarhus 2017 - Europæisk kulturhovedstad,Donation: 22.500.000 kr.,Kunst og kultur
193,2014,Team Danmark - forberedelse til OL 2016,Donation: 30.000.000 kr.,Sport
194,2013,ARoS - Sunset Lounge,Donation: 21.400.000 kr.,Kunst og kultur
195,2013,Aarhus Teater - publikumsområder omkring Store Scene,Donation: 23.100.000 kr.,Kunst og kultur
196,2013,"Teatret Svalegangen, Aarhus",Donation: 22.700.000 kr.,Kunst og kultur
197,2013,Kirkens Korshær,Donation: 5.200.000 kr.,Værdige formål
198,2012,"Havnebadet, Aarhus Ø",Donation: 42.400.000 kr.,Kunst og kultur
199,2012,"Legepladsen ved Dokk1, Aarhus",Donation: 7.000.000 kr.,Kunst og kultur
200,2012,"Sculpture by the sea, Aarhus",Donation: 3.000.000 kr.,Kunst og kultur
201,2012,Team Danmark - forberedelse til OL 2012,Donation: 30.000.000 kr.,Sport
202,2012,"Springvandet Endless Connection, Aarhus",Donation: 20.000.000 kr.,Kunst og kultur
203,2012,"Museum of Modern Art, Aalborg",Donation: 20.000.000 kr.,Kunst og kultur
204,2012,Salling Tårnet - Udkigstårn på Aarhus Ø,Donation: 7.000.000 kr.,Kunst og kultur
205,2011,Aarhus Teater - Scala scene,Donation: 12.700.000 kr.,Kunst og kultur
206,2010,"Den Gamle By, Aarhus",Donation: 74.600.000 kr.,Kunst og kultur
